subject,target,cache-references,cache-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cache-misses_percent,LLC-load-misses_percent,LLC-store-misses_percent,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP,execution_time,PROCESS_CPU_USAGE,PROCESS_MEMORY,PROCESS_VIRTUAL_MEMORY,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3
mypyc,n_body,42751035,4208253,13260064,1654421,3400124,134124,9.843628347243524,12.476719569377643,3.9446796646239966,5169.689453125,12575.804382324219,3414.14501953125,0,33610452992.0,34317791232.0,1172078428.7892463,0.0,1667.0921750068665,92.17765811035625,6660096.0,15925248.0,99.8435006519378,3.645034492702594,3.6338579412469256,3.7614275774830417,1599.5175228036485,1600.0,1599.9997599615938,1599.9997599615938
numba,fasta,443860100,11754381,187263991,7716019,68900031,651624,2.6482175352098554,4.120396536886795,0.9457528400821764,575.6660766601562,1406.9432983398438,387.21234130859375,0,33610452992.0,34317791232.0,1219445847.455135,0.0,185.13405466079712,92.47589502076845,1056768.0,8568832.0,97.51207845327016,4.76512340932279,5.132774974333273,3.60825739396585,1599.52,1600.0,1600.0,1600.0
cython,binary_trees,28928946156,21206043462,28540098616,21131849330,124467747,66935600,73.30389205208489,74.04266402272756,53.77746573977916,7191.689086914077,12486.934753417969,2755.6613159179688,0,33610452992.0,34317791232.0,1876512128.6268365,0.0,1634.3156402111053,94.38276319008733,1019904.0,8568832.0,99.91429970617042,3.408516200381558,3.2478622493646987,3.04588119679812,1599.5187316356514,1600.0,1599.9996327130264,1599.9998775710087
numba,fannkuch_redux,54562887,6043111,25815462,4780298,1652835,86115,11.075497159818541,18.517189427018582,5.210138943088693,321.7696533203125,745.6124877929542,191.807861328125,0,33610452992.0,34317791232.0,1216595782.5356455,0.0,104.15319442749023,90.82695346163418,6832128.0,15921152.0,99.38561094427385,2.760168811489392,3.896704947557982,3.8884715234613143,1599.5144508670521,1600.0,1600.0,1600.0
numba,spectralnorm,107679699,9203850,43280315,7151429,3477183,283135,8.547432882404324,16.523514211946008,8.14265455686399,790.3500976562646,1732.6673583984375,396.1033935546875,0,33610452992.0,34317791232.0,1222852350.3899372,0.0,254.47482252120972,92.42581957391224,6139904.0,14737408.0,99.36898662759073,2.98881525002748,4.272388682237961,3.5045998849021562,1599.5141509433963,1600.0,1600.0,1600.0
numba,spectralnorm,109720392,9610126,43950060,6820691,3442734,273908,8.75874194835177,15.519184729213112,7.956118596441085,838.4349365234375,1817.658203125,403.63958740234375,0,33610452992.0,34317791232.0,1216689231.3505535,0.0,271.05952858924866,94.41354770801163,5193728.0,14585856.0,99.76219762823239,2.4951569991797977,2.268991443591804,2.4174775901315835,1599.5173431734318,1600.0,1600.0,1600.0
pypy,mandelbrot,502390954,26292651,384377787,16079448,42864783,6824096,5.233504065043337,4.183240692834313,15.920052598889864,874.830810546875,2044.996215820327,508.95916748046875,0,33610452992.0,34317791232.0,1180063223.2228572,0.0,280.25469398498535,97.81967173985072,999424.0,8568832.0,99.63449848175048,2.7056233342204776,2.3147530752420424,2.0223312438385825,1599.5171428571427,1600.0,1600.0,1600.0
numba,fasta,442462580,11134939,196453485,7665912,66735526,583829,2.5165832102683123,3.9021511886134266,0.8748398866294993,573.2129516601417,1387.160522460952,374.51715087890625,0,33610452992.0,34317791232.0,1219900534.451892,0.0,185.0563952922821,95.32472561398068,4046848.0,14585856.0,98.37470123291016,2.2338243556667017,1.86280357483271,2.2792803256576124,1599.521081081081,1599.998918918919,1599.9978378378378,1600.0
codon,fannkuch_redux,1200034,108057,343058,53504,219400,7455,9.004494872645274,15.59619656151438,3.3979033728350045,322.77526855470205,722.3602294921875,174.18359375,0,33610452992.0,34317791232.0,1174106166.8221798,0.0,104.57176613807678,94.7390400246498,1007616.0,8568832.0,98.0789913957935,3.0090389658570516,2.0816301045864534,2.566955985120332,1599.51051625239,1599.9961759082219,1600.0,1600.0
numba,k_nucleotide,548631022,41926517,219912085,24092952,19177452,2824889,7.642024478885556,10.955719873239344,14.730262393565111,174.26727294918965,412.9500122070458,114.05999755859375,0,33610452992.0,34317791232.0,2016610192.290909,0.0,55.19529318809509,95.33499160766601,4096.0,380928.0,95.76975441672585,1.9449558570168235,2.6881508415395565,1.8228907511451027,1599.509090909091,1600.0,1600.0,1600.0
numba,fannkuch_redux,56197177,5753338,25388299,4783278,1670240,136232,10.23777048444978,18.840482381273358,8.156432608487403,321.087646484375,739.7584838867188,188.1842041015625,0,33610452992.0,34317791232.0,1216328350.8285165,0.0,103.77230405807495,94.86146996705747,6782976.0,15921152.0,98.83004391767616,2.636825321267336,2.283198069860021,1.9985537697814104,1599.4932562620425,1600.0,1600.0,1600.0
codon,fasta,3568703,505230,1096129,126918,664591,353602,14.157244242516118,11.578746662117325,53.2059567463297,107.13336181640625,241.65283203126455,60.38787841796875,0,33610452992.0,34317791232.0,1157027816.4597702,0.0,34.76391339302063,94.48438956271643,4096.0,421888.0,97.70114942528735,2.3041509670772773,2.4513101022818993,3.563381122446608,1599.5402298850574,1600.0,1599.9827586206898,1600.0
codon,spectralnorm,293250,32838,92138,14479,20696,1629,11.197953964194374,15.714471770604963,7.871086200231929,33.4322509765625,70.1285400390334,14.646728515625,0,33610452992.0,34317791232.0,1167361389.7142856,0.0,11.210631608963013,88.80447893483299,1052672.0,8568832.0,87.40384605952671,1.8540929428168706,1.2570308361734663,2.265404994998659,1599.5892857142858,1600.0,1600.0,1600.0
numba,n_body,93104047,7722706,39233429,6097065,2693653,223515,8.294704955199208,15.54048462090836,8.29783940247686,71.31884765626455,158.313232421875,37.4095458984375,0,33610452992.0,34317791232.0,1217498888.8275862,0.0,23.461732625961304,88.99692161329861,6668288.0,15921152.0,87.03944258854307,2.4218372250425406,1.8716221040692822,2.377004094164947,1599.551724137931,1600.0,1600.0,1600.0
mypyc,fasta,170137259,1458618,43717840,602149,19102412,360961,0.8573183843287377,1.3773530439747252,1.8896095425017534,1714.7962036132812,4200.11547851561,1168.4296875,0,33610452992.0,34317791232.0,1149149610.0195017,0.0,554.0954098701477,95.27824088165845,974848.0,8568832.0,99.52854381050173,2.1630831983124748,2.6808942126943642,2.656632709262086,1599.5193210545324,1600.0,1600.0,1599.9996388587938
mypyc,k_nucleotide,1238076347,316354286,1194343942,314006852,4593283,1220135,25.552082209353443,26.291157928442022,26.563462342729586,1687.917724609375,3999.2220458984375,1066.8191528320312,0,33610452992.0,34317791232.0,1300553050.7086613,0.0,533.564423084259,96.20648154740392,5103616.0,14585856.0,99.2801113579217,2.309312841800165,2.8732245417628164,2.2894365209115324,1599.5159355080616,1600.0,1600.0,1600.0
nuitka,spectralnorm,31851,17138,20753,13563,,,53.80678785595428,65.35440659181805,,1922.0585327148438,4706.092590332031,1307.1378173828125,0,33610452992.0,34317791232.0,1177995002.0465117,0.0,619.4164307117462,0.0,2584576.0,141676544.0,99.67700258397933,2.729639855004096,3.8723901234547915,3.1261032553298223,1599.5239018087855,1600.0,1599.9941860465117,1599.9974160206718
codon,fannkuch_redux,1142401,86600,332281,40065,195192,4872,7.580525577271029,12.057565735025475,2.4960039345874834,322.59637451168965,716.3369750976562,172.287841796875,0,33610452992.0,34317791232.0,1175440350.715105,0.0,104.79455709457397,93.08074755695992,987136.0,8568832.0,98.649979717189,4.576328296620349,2.92717238366034,1.5917644593045543,1599.5086042065009,1600.0,1600.0,1600.0
pypy,binary_trees,1949053243,632350343,1712699056,608163664,189477391,19787852,32.44397480012813,35.50907918524596,10.443384245247497,550.6143188476562,1050.7569580078125,259.8865966796875,0,33610452992.0,34317791232.0,1501783326.4761906,0.0,134.70189023017883,95.83170207199596,970752.0,8568832.0,99.09406070482163,2.278345488898811,2.5580736068742618,2.876410447238457,1599.5342261904761,1599.998511904762,1600.0,1599.9970238095239
pypy,binary_trees,1948994464,638940308,1711253172,614533626,186112018,17567519,32.78307454443339,35.91132136700577,9.439217944539186,549.7359008789062,1048.4056396484084,257.83612060546875,0,33610452992.0,34317791232.0,1496177263.833581,0.0,134.73533177375793,95.76545900682106,2527232.0,71065600.0,98.3592194873192,2.690341576778871,2.3053123538242586,3.3253896590682053,1599.5200594353641,1600.0,1600.0,1600.0
codon,spectralnorm,336200,54740,100387,22051,19166,2988,16.2819750148721,21.96599161245978,15.590107481999373,33.56243896484375,70.4122314453125,15.016845703125,0,33610452992.0,34317791232.0,1231543588.5714285,0.0,11.315909147262573,85.07925135748727,950272.0,8568832.0,62.45686680930002,0.32869539516312735,6.2038889442171365,1.7530929169484548,1599.517857142857,1600.0,1599.982142857143,1599.9642857142858
pypy,fannkuch_redux,185153761,4423342,131789434,3171405,9403456,206115,2.3890100725526175,2.406418256565242,2.191906890402848,628.4698486328125,1498.65087890625,397.64227294921875,0,33610452992.0,34317791232.0,1244395071.4291377,0.0,201.8695192337036,97.1445625199317,16883712.0,71065600.0,99.68397629343718,2.025017182229177,3.26563474208087,3.3963599630342602,1599.5193260654114,1600.0,1600.0,1599.998017839445
codon,binary_trees,519095452,229454632,498478443,220316890,18794440,9422792,44.20278218889115,44.19787717881313,50.13606151606539,143.50738525387715,269.86590576171875,67.22601318359375,0,33610452992.0,34317791232.0,1650358915.6571429,0.0,35.067906618118286,95.80442145211356,987136.0,8568832.0,95.961038949149,2.124943423952375,3.6244283131190707,2.5594144814355033,1599.5257142857142,1600.0,1600.0,1600.0
mypyc,spectralnorm,181291002,2035720,104702316,1140536,2879880,179682,1.122901841537618,1.0893130577932966,6.239218300762532,2470.4761962890625,6096.403137207031,1675.5819091796875,0,33610452992.0,34317791232.0,1249907181.0846946,0.0,796.2430019378662,94.54103289707487,1077248.0,8568832.0,99.82234977842965,3.2049903302343683,5.111133380716966,3.3226538270404813,1599.5109323950742,1599.998994722292,1599.9917064589092,1599.9984920834381
nuitka,k_nucleotide,39080,14997,22939,10058,,,38.37512794268168,43.84672391996164,,1378.17578125,3249.7926635742188,860.7020263671875,0,33610452992.0,34317791232.0,1618366018.7826087,0.0,432.5194354057312,0.008233117572032777,4268032.0,141676544.0,99.07381158664643,2.324302853532239,2.511815980669528,2.7885640654488917,1599.5124884366328,1600.0,1600.0,1600.0
codon,binary_trees,536629634,235549721,504431396,220084603,18655451,9136427,43.89428128376526,43.63023490314231,48.9745704888078,144.1396484375,271.296875,67.46221923828125,0,33610452992.0,34317791232.0,1661616221.622857,0.0,35.2736701965332,95.07928357805524,946176.0,10059776.0,96.0,2.631693216051374,2.395195860181536,1.7288885974884034,1599.5542857142857,1600.0,1600.0,1600.0
codon,binary_trees,534386224,229951841,497520442,214923539,15413117,8463356,43.031019639458364,43.19893633636867,54.9100872977218,144.22076416015625,270.42828369140625,67.25042724609375,0,33610452992.0,34317791232.0,1657934619.7942858,0.0,34.960394859313965,95.00286812918527,1015808.0,8568832.0,96.53061222621373,2.6048903274536133,4.77981196471623,2.7376262950897217,1599.48,1599.9942857142858,1599.9942857142858,1599.9942857142858
codon,fannkuch_redux,1113413,80909,331111,38635,199911,4665,7.266755462707907,11.668292506138425,2.3335384245989466,322.56268310546875,720.7459106445312,173.6025390625,0,33610452992.0,34317791232.0,1239896471.250478,0.0,104.70689702033997,95.17395697861738,5836800.0,36372480.0,98.0849351025904,1.910119678732542,1.5223804457009864,4.349284167043566,1599.5181644359466,1599.9961759082219,1599.9961759082219,1600.0
mypyc,binary_trees,11487958081,7575550010,11374812831,7551779422,35322066,18748812,65.94339878841694,66.39036205869681,53.07960185567855,2616.9594116210938,4388.4310302734375,997.1222534179688,0,33610452992.0,34317791232.0,1459095442.7636878,0.0,566.7957830429077,94.43395600745048,6787072.0,15925248.0,99.57520003674183,3.503623100082515,3.6552298497244142,4.510869024373415,1599.5058283292124,1599.999293535853,1599.9982338396326,1599.9929353585305
nuitka,mandelbrot,33022,13611,15523,10064,,,41.21797589485797,64.8328287057914,,4049.458251953125,9392.19354248044,2330.447509765625,0,33610452992.0,34317791232.0,1178715103.4523227,0.0,1309.3497395515442,0.0022308281406505184,4026368.0,141672448.0,99.92180590990995,2.4551311263081352,2.458509876559008,2.1735981026058675,1599.5221577017114,1600.0,1599.999847188264,1600.0
pypy,fasta,1997204571,110918394,1580498309,64073891,252934105,32276049,5.553682162086339,4.054030974607009,12.760655191200886,308.1363525390916,664.2674560546584,175.15106201171875,0,33610452992.0,34317791232.0,1190010999.3901346,0.0,89.23459100723267,98.1442044925262,4096.0,4096.0,96.18067954367052,2.1713753398758415,2.0426076827027875,2.2498592523181387,1599.5313901345291,1600.0,1600.0,1600.0
nuitka,spectralnorm,39125,17489,20562,13649,,,44.70031948881789,66.37972959828811,,1911.4747924804688,4666.720764160156,1281.4222412109375,0,33610452992.0,34317791232.0,1188851094.4124513,0.0,617.0189435482025,0.0,1003520.0,8568832.0,99.80281838245119,2.436293641069056,3.112071354797378,3.3005524624801024,1599.5129701686121,1600.0,1599.9996757457848,1600.0
pypy,fasta,2013173529,123959444,1596522309,76955033,260676260,36771244,6.1574147590532915,4.820166468466179,14.106096197636104,315.24847412109375,672.2620239257521,177.44879150390625,0,33610452992.0,34317791232.0,1195970614.7349665,0.0,90.05973219871521,97.55179334270927,1871872.0,8568832.0,93.78200512314693,3.8069840250142697,3.0850674633459416,1.8403152787605745,1599.5033407572382,1600.0,1600.0,1600.0
nuitka,fasta,30860,13416,16645,10232,,,43.47375243033053,61.47191348753379,,1357.5186157226562,3312.474609374971,953.0757446289062,0,33610452992.0,34317791232.0,1187831464.0182564,0.0,438.41317486763,0.0,991232.0,8568832.0,99.35951217588689,2.6961234742677793,2.505899601034898,4.407380248465422,1599.5098128708353,1600.0,1600.0,1600.0
cython,fasta,164570663,1423736,43000335,541719,17845428,355156,0.8651213855776956,1.2598018131719206,1.9901792212548781,1515.5093383789062,3712.1355590820312,1042.9013061523438,0,33610452992.0,34317791232.0,1180496009.2026143,0.0,489.91256403923035,94.96872923420925,593920.0,6676480.0,98.67490295647016,2.5036098947322447,2.281642588719823,2.2376433340649977,1599.5200163398692,1599.999591503268,1600.0,1600.0
cython,n_body,39907917,1500800,14145037,809439,3160693,66279,3.760657315188863,5.722424055872035,2.096976833877887,5425.278991699248,13177.081176757783,3569.7767333984375,0,33610452992.0,34317791232.0,1195825694.8321168,0.0,1754.3494210243225,95.24589545013261,737280.0,7622656.0,99.83999053753206,2.14494332088579,2.2156784585167237,1.9255700953114425,1599.5224680656934,1600.0,1599.999885948905,1600.0
mypyc,mandelbrot,126683703,6496263,54972218,3743559,6591906,442725,5.12793898991096,6.809910780751107,6.71619103791832,4887.738159179717,11652.138000488281,3002.5238037109084,0,33610452992.0,34317791232.0,1182385868.8,0.0,1576.6605117321014,94.4356713236891,962560.0,8568832.0,99.92273482792268,3.5393321594308476,2.71895361780969,3.469866207007527,1599.518654822335,1600.0,1599.9998730964467,1600.0
codon,k_nucleotide,855855335,36885323,844178151,33601265,4811438,2801796,4.309761415461645,3.980352365220123,58.23198802520161,300.0267333984375,669.3694458008104,168.94921875,0,33610452992.0,34317791232.0,1760106098.4978902,0.0,94.80056309700012,92.2005234006085,7581696.0,38760448.0,96.62447257383967,11.367813688793262,3.2613772010501427,3.538882780930161,1599.542194092827,1600.0,1600.0,1600.0
cython,binary_trees,28883469555,21209490064,28531095431,21146225610,133419674,67263934,73.43124074347375,74.11641680965361,50.41530381793618,7277.385620117158,12622.055290429678,2815.1647338866896,0,33610452992.0,34317791232.0,1898639254.0732327,0.0,1655.8317148685455,94.22256051054894,1015808.0,8568832.0,99.93829144434626,4.137627770245255,3.794873392473895,3.998074717680133,1599.512990936556,1599.9997583081572,1599.9998791540786,1600.0
nuitka,spectralnorm,23734,13694,15326,9862,,,57.69781747703716,64.34816651441993,,1905.3303833007812,4646.0230712890625,1266.8438110351562,0,33610452992.0,34317791232.0,1194421291.8857143,0.0,616.1884613037109,0.0,2564096.0,141676544.0,99.44765840257917,2.3816863730743334,2.0706273533500634,2.2516457287135063,1599.5103896103897,1600.0,1599.9996753246753,1600.0
numba,fasta,478424477,11476093,224512796,7901318,65216335,634173,2.3987261420991217,3.519317446832741,0.9724143498710867,589.2728881835938,1428.3950805664062,384.31597900390625,0,33610452992.0,34317791232.0,1247238404.5762355,0.0,190.35221886634827,95.78762845461551,6754304.0,15921152.0,99.15320924103072,2.259945473711072,2.286815721905946,1.8042392332095076,1599.5205047318611,1600.0,1600.0,1600.0
nuitka,fasta,32242,13855,16315,10207,,,42.97190000620309,62.56205945448974,,1341.851806640596,3303.759033203125,942.544921875,0,33610452992.0,34317791232.0,1192364305.1296723,0.0,433.5303463935852,0.006712412691138338,3813376.0,141676544.0,98.98354545209503,2.569692937525726,2.3722378604688235,2.0214587870313103,1599.5205353022611,1600.0,1600.0,1600.0
